User_ID,Year,Country,Gender,Age_Group,Urban_Rural,Phone_Type,Fintech_Used,Use_Case_1,Use_Case_2,Monthly_Transactions,Avg_Transaction_Value,Barrier
U1,2021,South Africa,Female,35-44,Urban,Smartphone,No,Business Use,,0,0.0,No ID
U2,2025,Ghana,Female,35-44,Urban,None,No,Bill Payments,Airtime Top-up,0,0.0,None
U3,2016,South Africa,Male,25-34,Urban,Smartphone,No,Bill Payments,,0,0.0,No Trust
U4,2024,South Africa,Other,18-24,Urban,Feature Phone,No,P2P Transfers,Airtime Top-up,0,0.0,Poor Network
U5,2023,Nigeria,Female,35-44,Urban,Smartphone,Yes,Bill Payments,P2P Transfers,5,27.28,None
U6,2017,Uganda,Male,18-24,Rural,Smartphone,No,Bill Payments,Business Use,0,0.0,No Trust
U7,2020,Ghana,Other,35-44,Rural,Feature Phone,Yes,Bill Payments,P2P Transfers,10,18.33,None
U8,2015,Zimbabwe,Other,35-44,Urban,Smartphone,Yes,P2P Transfers,,9,35.1,None
U9,2019,Nigeria,Female,25-34,Urban,Smartphone,Yes,Airtime Top-up,,6,9.86,None
U10,2021,Zimbabwe,Male,25-34,Rural,Smartphone,No,Bill Payments,,0,0.0,Low Digital Literacy
U11,2018,Ghana,Male,25-34,Urban,Feature Phone,Yes,Bill Payments,,3,44.75,None
U12,2024,Tanzania,Female,25-34,Urban,Smartphone,No,Bill Payments,Online Shopping,0,0.0,Low Digital Literacy
U13,2023,Nigeria,Male,25-34,Urban,Smartphone,No,P2P Transfers,Business Use,0,0.0,No ID
U14,2022,Tanzania,Male,18-24,Urban,Smartphone,No,Airtime Top-up,Bill Payments,0,0.0,No Smartphone
U15,2018,South Africa,Male,25-34,Urban,Smartphone,No,P2P Transfers,,0,0.0,No Smartphone
U16,2016,Kenya,Male,18-24,Urban,Feature Phone,Yes,P2P Transfers,,7,33.45,None
U17,2020,Uganda,Female,18-24,Rural,Smartphone,No,Business Use,,0,0.0,No ID
U18,2017,South Africa,Male,18-24,Rural,Feature Phone,No,Bill Payments,,0,0.0,Poor Network
U19,2018,Zimbabwe,Female,25-34,Rural,Smartphone,No,P2P Transfers,,0,0.0,Poor Network
